Name,Photo file,Exists in pack
Nicola Butts,nicola_butts.png,True
Professor Tony Avery OBE,tony_avery.png,True
Dr Laura Hissey,laura_hissey.png,True
Professor Nicole Tang,nicole_tang.png,True
Dr Mohamed Dorgham,mohamed_dorgham.png,True
Dr Tim Williams,tim_williams.png,True
Dr Asim Suleman,asim_suleman.png,True
Professor Cormac Ryan,cormac_ryan.png,True
Professor Roger Knaggs,roger_knaggs.png,True
Professor Tamar Pincus,tamar_pincus.png,True
Darrell Price,darrell_price.png,True
Tim Atkinson,tim_atkinson.png,True
Sue Crisfield,sue_crisfield.png,True
Mark Angathangelou,mark_angathangelou.png,True
Su Madden,su_madden.png,True
Dr Emma Davies,emma_davies.png,True
Rachel Stovell,rachel_stovell.png,True
